Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
ARE,Alexandria Real Estate Equities,Office REITs,97.35,54.083332,0.051999997,1.8,94.35,130.14,16850505728,1905123968,5.461276,0.9204281,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ARE
ALGN,Align Technology,Health Care Supplies,219.11,37.390785,,5.86,196.09,335.4,16357241856,820153984,4.1300755,4.152799,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN
ALLE,Allegion,Building Products,132.73,20.42,0.014400001,6.5,113.27,156.1,11538124800,888400000,3.098315,7.3441043,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALLE
LNT,Alliant Energy,Electric Utilities,58.88,22.910507,0.0342,2.57,46.8,64.19,15108549632,1636999936,3.809518,2.168293,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNT
ALL,Allstate,Property & Casualty Insurance,192.33,12.432449,0.019,15.47,153.87,209.88,50929561600,6192999936,0.8157605,2.7001262,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services,204.02,27.09429,0.004,7.53,130.67,205.48,2507303813120,123469996032,7.377482,7.965486,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
GOOG,Alphabet Inc. (Class C),Interactive Media & Services,205.6,27.267906,0.0039,7.54,131.55,207.08,2504763113472,123469996032,7.3700066,8.027174,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOG
MO,Altria,Tobacco,52.23,7.8778276,0.0775,6.63,39.25,58.04,88302649344,12216000512,4.3366394,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
AMZN,Amazon,Broadline Retail,237.68,50.24947,,4.73,151.61,241.77,2499205136384,111583002624,4.030144,9.640235,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
AMCR,Amcor,Paper & Plastic Packaging Products & Materials,9.72,18.339624,0.0523,0.53,8.78,11.48,14092055552,1904000000,1.0400041,3.5827498,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMCR
AMTM,Amentum,Diversified Support Services,20.97,,,-0.94,18.38,34.5,5102042624,433000000,0.9084834,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMTM
AEE,Ameren,Multi-Utilities,94.2,22.164705,0.028499998,4.25,67.03,96.74,25144616960,3264000000,3.5625699,2.124732,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEE
AEP,American Electric Power,Electric Utilities,98.36,19.830645,0.0379,4.96,75.22,105.18,52383092736,7258299904,2.6723068,1.967633,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AEP
AXP,American Express,Consumer Finance,317.45,22.772598,0.0086,13.94,203.0,326.27,223902892032,,3.7796535,7.523047,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
AIG,American International Group,Multi-line Insurance,73.66,14.644135,0.0212,5.03,67.96,80.83,45946826752,8501000192,1.0143012,1.0308154,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
AMT,American Tower,Telecom Tower REITs,184.95,44.673912,0.0349,4.14,170.46,243.56,86425100288,6966099968,7.7388453,23.732836,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
AWK,American Water Works,Water Utilities,124.64,24.681187,0.0247,5.05,113.34,150.68,24291588096,2408000000,5.380197,2.3443112,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AWK
AMP,Ameriprise Financial,Asset Management & Custody Banks,543.36,21.795425,0.010299999,24.93,381.99,577.89,52271230976,,2.9963448,9.243331,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMP
AME,Ametek,Electrical Components & Equipment,184.56,32.09739,0.006,5.75,149.03,198.33,42690203648,2138388992,6.1776185,4.470064,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AME
AMGN,Amgen,Biotechnology,285.42,36.220814,0.0335,7.88,253.3,346.85,153422675968,12247000064,4.7157645,20.38132,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
APH,Amphenol,Electronic Components,70.78,36.864582,0.0091,1.92,51.025,79.39,85333073920,3586299904,5.9956913,9.025759,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
ADI,Analog Devices,Semiconductors,211.89,64.798164,0.0165,3.27,182.57,244.14,105128370176,4361349120,10.837489,2.9895453,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
ANSS,Ansys,Application Software,350.5,53.923077,,6.5,289.82,363.03,30651224064,836108992,12.420753,5.257001,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANSS
AON,Aon,Insurance Brokers,370.82,31.72113,0.0073,11.69,268.06,395.33,80195756032,4295000064,5.37289,12.857391,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AON
APA,APA Corporation,Oil & Gas Exploration & Production,21.93,3.115057,0.0435,7.04,20.32,36.05,8112937984,5047000064,0.9059674,1.5862569,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APA
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals",236.0,37.76,0.0042,6.25,164.08,260.1,3572851277824,134660997120,9.1369095,62.649323,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
AMAT,Applied Materials,Semiconductor Materials & Equipment,180.35,21.093567,0.0086,8.55,158.96,255.89,147683934208,8204000256,5.499513,7.8917427,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
APTV,Aptiv,Automotive Parts & Equipment,62.42,7.0056114,,8.91,51.47,85.56,14786111488,3032999936,0.74961275,1.6514537,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APTV
ACGL,Arch Capital Group,Property & Casualty Insurance,93.07,6.3485675,,14.66,80.97,116.47,35584942080,5171999744,2.1097374,1.6261313,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACGL
ADM,Archer Daniels Midland,Agricultural Products & Services,51.23,14.39045,0.0379,3.56,48.4,66.08,24515297280,3988000000,0.27617267,1.0890499,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM
ANET,Arista Networks,Communications Equipment,115.23,55.39904,,2.08,60.08,133.575,145162141696,2833341952,21.950539,3.9239259,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANET
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,301.82,46.505394,0.0087,6.49,230.08,316.72,75395547136,3382200064,7.067648,5.4349666,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AJG
AIZ,Assurant,Multi-line Insurance,215.19,15.381701,0.0146,13.99,160.12,230.55,11036535808,1241900032,0.93881625,2.1037042,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIZ
T,AT&T,Integrated Telecommunication Services,23.73,16.142857,0.048899997,1.47,15.94,24.98,172367593472,42773000192,1.4121547,1.6633955,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T
ATO,Atmos Energy,Gas Utilities,142.51,20.8653,0.023699999,6.83,110.46,152.65,22180255744,1991972992,5.416576,1.8157609,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATO
ADSK,Autodesk,Application Software,311.34,62.01992,,5.02,195.32,326.62,67096567808,1396000000,11.55841,35.91832,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK
ADP,Automatic Data Processing,Human Resource & Employment Services,303.01,31.629438,0.020599999,9.58,231.27,311.67,123285987328,5733100032,6.3149424,27.192858,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP
AZO,AutoZone,Automotive Retail,3350.21,22.415428,,149.46,2672.31,3437.63,56223895552,4338463232,3.040729,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
AVB,AvalonBay Communities,Multi-Family Residential REITs,221.51,30.260927,0.0309,7.32,169.37,239.29,31506915328,1808050944,10.767874,2.6475194,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB
AVY,Avery Dennison,Paper & Plastic Packaging Products & Materials,185.73,21.29931,0.0182,8.72,181.99,233.48,14922736640,1416300032,1.7191103,6.240927,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVY
AXON,Axon Enterprise,Aerospace & Defense,652.18,168.95856,,3.86,251.13,698.67,49731854336,183220000,25.629044,23.630566,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXON
BKR,Baker Hughes,Oil & Gas Equipment & Services,46.18,15.496644,0.020599999,2.98,28.32,47.6,45696311296,4336999936,1.6738576,2.8213587,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BKR
BALL,Ball Corporation,"Metal, Glass & Plastic Containers",55.7,23.208332,0.0143,2.4,51.96,71.32,16622327808,2092999936,1.2058272,2.5007856,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BALL
BAC,Bank of America,Diversified Banks,46.3,14.423676,0.0221,3.21,32.35,48.08,352382812160,,3.7239535,1.308982,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
BAX,Baxter International,Health Care Equipment,32.56,130.24,0.020499999,0.25,28.34,44.01,16624745472,2744000000,1.1037542,2.1114066,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX
BDX,Becton Dickinson,Health Care Equipment,247.6,42.25256,0.0175,5.86,218.75,250.91,71805984768,5109000192,3.6214435,2.7674081,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
BRK.B,Berkshire Hathaway,Multi-Sector Holdings,,,,,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B
BBY,Best Buy,Computer & Electronics Retail,85.86,14.702055,0.0404,5.84,69.29,103.71,18356525056,2673999872,0.43154255,6.0575705,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY
TECH,Bio-Techne,Life Sciences Tools & Services,73.55,77.42106,0.0044,0.95,61.16,85.57,11686507520,308515008,9.974972,5.463933,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TECH
BIIB,Biogen,Biotechnology,143.93,13.025338,,11.05,139.71,246.44,20973336576,2884999936,2.183017,1.2819073,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB
BLK,BlackRock,Asset Management & Custody Banks,1075.5,25.607143,0.0212,42.0,745.55,1084.22,166572376064,7673999872,8.603501,3.8642988,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK
BX,Blackstone Inc.,Asset Management & Custody Banks,177.11,48.79063,0.0186,3.63,115.82,200.96,216281432064,,19.417854,19.407187,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BX
BK,BNY Mellon,Asset Management & Custody Banks,85.93,14.815516,0.0248,5.8,52.64,87.7,61670244352,,3.4644256,1.659489,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK
BA,Boeing,Aerospace & Defense,176.52,,,-18.37,137.03,213.77,132251615232,-3991000064,1.8044237,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA
BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines",4737.56,32.25902,0.0073,146.86,3180.0,5337.24,158014685184,7183000064,6.8547063,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BKNG
BWA,BorgWarner,Automotive Parts & Equipment,31.9,7.8960395,0.0134000005,4.04,29.51,38.23,6976529920,1882000000,0.49237984,1.1332954,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
BSX,Boston Scientific,Health Care Equipment,102.36,84.59504,,1.21,64.08,103.595,150861234176,4063000064,9.481568,7.2833357,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX
BMY,Bristol Myers Squibb,Pharmaceuticals,58.95,,0.0419,-3.57,39.35,61.1,119946158080,19161999360,2.5286424,6.9738555,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
AVGO,Broadcom,Semiconductors,221.27,171.52715,0.0117,1.29,119.756,251.88,1037172146176,22958000128,22.154697,3.7363436,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,238.22,41.143353,0.0147,5.79,188.3,241.45,27845298176,1545799936,4.284815,12.822003,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BR
BRO,Brown & Brown,Insurance Brokers,104.66,30.248556,0.0057,3.46,77.12,114.15,29928366080,1528300032,6.5651097,4.630769,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRO
BF.B,Brown–Forman,Distillers & Vintners,,,,,,,,,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BF.B
BLDR,Builders FirstSource,Building Products,167.28,16.367905,,10.22,130.75,214.7,19251419136,2349128960,1.1506404,4.3471932,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLDR
BG,Bunge Global,Agricultural Products & Services,76.13,9.648923,0.035,7.89,75.72,114.92,10629804032,2486000128,0.19503513,1.0488104,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BG
BXP,"BXP, Inc.",Office REITs,73.14,31.800001,0.053600002,2.3,56.46,90.11,12904675328,1870726016,3.8590477,2.006309,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP
CHRW,C.H. Robinson,Air Freight & Logistics,99.49,25.774612,0.023,3.86,65.0,114.82,11760215040,673996992,0.66209275,7.163223,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHRW
CDNS,Cadence Design Systems,Application Software,297.62,78.115486,,3.81,241.29,328.99,81626152960,1450493056,18.747797,17.886892,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS
CZR,Caesars Entertainment,Casinos & Gaming,36.05,,,-1.68,30.784,45.93,7659904000,3668000000,0.67961174,1.8292063,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CZR
CPT,Camden Property Trust,Multi-Family Residential REITs,113.71,35.870663,0.0364,3.17,90.5,127.69,12130696192,893276992,7.793328,2.7759874,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPT
CPB,Campbell Soup Company,Packaged Foods & Meats,38.77,21.185793,0.0325,1.83,37.61,52.81,11557685248,1783000064,1.1994277,3.0450833,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPB
COF,Capital One,Consumer Finance,203.71,17.591537,0.0124,11.58,128.23,207.24,77660372992,,2.930912,1.338111,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
CAH,Cardinal Health,Health Care Distributors,123.66,23.027935,0.015800001,5.37,93.17,131.29,29872300032,2924000000,0.13308874,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAH
KMX,CarMax,Automotive Retail,85.64,29.129251,,2.94,65.83,91.25,13171431424,926968000,0.47586256,2.2223375,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMX
CCL,Carnival,"Hotels, Resorts & Cruise Lines",27.67,19.215277,,1.44,13.78,28.72,37406797824,5878000128,1.5281179,4.0781136,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL
CARR,Carrier Global,Building Products,65.38,38.686386,0.0136,1.69,53.13,83.32,59190083584,3318000128,2.3866007,3.9948673,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CARR
CTLT,Catalent,Pharmaceuticals,63.48,,,-2.28,42.11,63.5,11522381824,462000000,2.6056945,3.2527156,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTLT
CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,371.44,16.845352,0.0143,22.05,306.0,418.5,179331973120,15818999808,2.7310545,9.245321,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
CBOE,Cboe Global Markets,Financial Exchanges & Data,204.33,27.875853,0.012200001,7.33,166.13,221.66,21390489600,1290400000,5.4076476,5.0824566,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE
CBRE,CBRE Group,Real Estate Services,144.74,46.690327,,3.1,82.75,147.09,44293046272,2213600000,1.2908531,5.008825,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBRE
CDW,CDW,Technology Distributors,199.14,24.31502,0.0126,8.19,168.43,263.37,26538192896,1996300032,1.2739638,11.291037,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDW
CE,Celanese,Specialty Chemicals,71.04,7.0756974,0.0388,10.04,64.05,172.16,7765524480,1851000064,0.7410559,1.0671314,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CE
COR,Cencora,Health Care Distributors,254.21,33.804523,0.0085,7.52,214.77,258.39,49280135168,4303009792,0.1676431,63.42565,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COR
CNC,Centene Corporation,Managed Health Care,64.03,11.058722,,5.79,55.03,81.42,32326504448,5919000064,0.22110547,1.1960399,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC
CNP,CenterPoint Energy,Multi-Utilities,32.57,21.713333,0.026800001,1.5,25.41,33.12,21226747904,3081999872,2.4788916,2.0148468,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP
CF,CF Industries,Fertilizers & Agricultural Chemicals,92.21,14.613312,0.0217,6.31,69.13,98.25,16046384128,2651000064,2.6819963,3.0948145,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF
CRL,Charles River Laboratories,Life Sciences Tools & Services,164.76,20.672522,,7.97,159.65,275.0,8466620928,948771008,2.0849042,2.2274497,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRL
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,82.72,27.665552,0.0124,2.99,61.01,83.73,151423926272,,8.081977,3.980176,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW
CHTR,Charter Communications,Cable & Satellite,345.49,10.827013,,31.91,236.08,415.27,49041612800,21500000256,0.89377826,3.484448,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR
CVX,Chevron Corporation,Integrated Oil & Gas,149.19,17.187788,0.0417,8.68,135.37,167.11,278706323456,38942998528,1.4539505,1.7164257,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX
CMG,Chipotle Mexican Grill,Restaurants,58.35,54.027775,,1.08,47.98,69.2614,79507120128,2233638912,7.23788,22.018867,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG
CB,Chubb Limited,Property & Casualty Insurance,271.88,12.083556,0.0134000005,22.5,238.85,302.05,108943409152,11363000320,1.991762,1.6663909,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB
CHD,Church & Dwight,Household Products,105.52,47.318382,0.0106,2.23,96.09,113.5,25852188672,1330099968,4.2709007,6.1628313,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD
CI,Cigna,Health Care Services,294.21,24.294798,0.0185,12.11,262.03,370.83,80551460864,8554999808,0.35060942,1.9534818,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI
CINF,Cincinnati Financial,Property & Casualty Insurance,137.05,7.039035,0.0233,19.47,104.78,161.75,21422972928,4062000128,1.7624824,1.5517964,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CINF
CTAS,Cintas,Diversified Support Services,200.57,48.446865,0.0076,4.14,150.7,228.12,80938819584,2450383872,8.296421,18.820496,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTAS
CSCO,Cisco,Communications Equipment,60.6,26.008583,0.026500002,2.33,44.5,62.32,241355243520,13752000512,4.5559354,5.340148,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO
C,Citigroup,Diversified Banks,81.43,13.755068,0.0286,5.92,52.24,82.77,153659228160,,2.217049,0.7990619,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C
CFG,Citizens Financial Group,Regional Banks,47.57,15.69967,0.0353,3.03,30.24,49.25,20956631040,,2.9454155,0.92808646,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG
CLX,Clorox,Household Products,158.68,55.2892,0.0304,2.87,127.6,171.37,19641567232,1371000064,2.6297452,327.17523,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CLX
CME,CME Group,Financial Exchanges & Data,236.52,24.870663,0.044099998,9.51,190.7,249.02,85232820224,4209900032,14.124489,3.013992,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CME
CMS,CMS Energy,Multi-Utilities,66.0,18.857143,0.0311,3.5,55.1,72.4,19719809024,2739000064,2.6377487,2.5003788,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMS
KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,63.48,26.560669,0.030299999,2.39,57.93,73.53,275914555392,14830999552,5.950795,10.316918,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO
CTSH,Cognizant,IT Consulting & Other Services,82.61,18.276548,0.0145000005,4.52,63.79,83.4015,40960020480,3470000128,2.110036,2.8352268,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH
CL,Colgate-Palmolive,Household Products,86.7,24.913792,0.022,3.48,82.68,109.3,70834855936,4894000128,3.5230706,162.96992,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CL
CMCSA,Comcast,Cable & Satellite,33.66,8.033413,0.0332,4.19,33.3,45.82,128483590144,37285998592,1.0439879,1.5046937,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMCSA
CAG,Conagra Brands,Packaged Foods & Meats,25.89,25.135923,0.0512,1.03,25.06,33.24,12357814272,2239500032,1.0348368,1.4667724,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAG
COP,ConocoPhillips,Oil & Gas Exploration & Production,98.83,11.723606,0.0308,8.43,94.23,135.18,127842541568,24445999104,2.245846,2.2803416,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP
ED,Consolidated Edison,Multi-Utilities,93.74,17.6203,0.036199998,5.32,85.85,107.75,32476971008,5555999744,2.160666,1.481142,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED
STZ,Constellation Brands,Distillers & Vintners,180.8,49.264305,0.0184,3.67,176.51,274.87,33316921344,3887300096,3.2693136,3.3938394,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STZ
CEG,Constellation Energy,Electric Utilities,299.98,34.01134,0.0046,8.82,125.85,352.0,96526368768,5997000192,4.0249505,7.4696217,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CEG
COO,Cooper Companies (The),Health Care Supplies,96.55,49.260204,0.0002,1.96,84.76,112.38,19269740544,1023000000,5.065519,2.4256356,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COO
CPRT,Copart,Diversified Support Services,57.93,40.51049,,1.43,48.05,64.38,55817179136,1754322944,13.1743,7.414565,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPRT
GLW,Corning Inc.,Electronic Components,52.08,89.793106,0.0219,0.58,30.72,55.33,44539285504,2607000064,3.5317805,3.8181818,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLW
CPAY,Corpay,Transaction & Payment Processing Services,380.49,27.119743,,14.03,247.1,386.81,26524338176,2066438016,6.840616,8.587194,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CPAY
CTVA,Corteva,Fertilizers & Agricultural Chemicals,65.27,68.70526,0.010299999,0.95,50.01,66.16,45464403968,3014000128,2.7327285,1.8184096,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTVA
CSGP,CoStar Group,Real Estate Services,76.6,182.38095,,0.42,68.26,100.38,31402936320,170300000,11.775071,4.187394,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSGP
